iter	Passed	Remaining
162	442	2272
163	443	2259
164	443	2246
165	444	2233
166	445	2220
167	445	2208
168	446	2195
169	447	2183
170	447	2171
171	448	2160
172	449	2148
173	450	2136
174	450	2125
175	451	2114
176	452	2102
177	453	2093
178	454	2082
179	454	2071
180	455	2060
181	456	2051
182	457	2040
183	457	2030
184	458	2019
185	459	2009
186	459	1999
187	460	1988
188	461	1978
189	461	1968
190	462	1958
191	463	1948
192	463	1939
193	464	1929
194	465	1920
195	465	1910
196	466	1901
197	467	1892
198	468	1883
199	468	1875
200	469	1867
201	470	1858
202	471	1849
203	471	1841
204	472	1832
205	473	1824
206	473	1815
207	475	1809
208	475	1801
209	476	1792
210	477	1784
211	477	1776
212	478	1768
213	479	1761
214	480	1753
215	480	1745
216	481	1738
217	482	1731
218	483	1724
219	484	1717
220	485	1710
221	485	1702
222	486	1695
223	487	1687
224	488	1683
225	489	1676
226	490	1669
227	490	1661
228	491	1654
229	492	1647
230	492	1640
231	493	1634
232	494	1627
233	495	1622
234	496	1615
235	496	1608
236	497	1602
237	498	1596
238	499	1589
239	499	1583
240	500	1577
241	502	1572
242	502	1566
243	503	1560
244	504	1554
245	505	1547
246	505	1541
247	506	1535
248	507	1529
249	507	1523
250	508	1518
251	509	1512
252	510	1506
253	510	1500
254	511	1494
255	512	1489
256	514	1486
257	514	1481
258	515	1475
259	516	1470
260	517	1465
261	518	1459
262	519	1454
263	519	1449
264	520	1444
265	521	1438
266	522	1433
267	523	1428
268	524	1424
269	524	1419
270	525	1413
271	526	1408
272	527	1403
273	527	1398
274	528	1393
275	529	1388
276	530	1384
277	530	1379
278	531	1373
279	532	1369
280	533	1364
281	534	1360
282	534	1355
283	535	1350
284	536	1346
285	537	1341
286	538	1337
287	538	1332
288	539	1327
289	540	1322
290	540	1317
291	541	1313
292	542	1310
293	544	1306
294	545	1302
295	545	1297
296	546	1293
297	547	1288
298	547	1284
299	548	1279
300	549	1276
301	550	1272
302	551	1267
303	551	1263
304	552	1259
305	553	1254
306	553	1250
307	554	1245
308	555	1241
309	556	1238
310	557	1234
311	557	1230
312	558	1226
313	559	1222
314	560	1219
315	561	1215
316	562	1211
317	562	1207
318	563	1203
319	564	1199
320	565	1195
321	565	1191
322	566	1187
323	567	1183
324	567	1179
325	568	1175
326	569	1171
327	570	1168
328	570	1164
329	571	1160
330	572	1156
331	572	1152
332	573	1149
333	574	1145
334	575	1142
335	576	1139
336	577	1135
337	578	1133
338	579	1129
339	579	1125
340	580	1122
341	581	1118
342	581	1114
343	582	1110
344	583	1107
345	584	1103
346	584	1100
347	585	1096
348	586	1093
349	586	1089
350	587	1086
351	588	1083
352	589	1080
353	590	1078
354	592	1075
355	592	1072
356	593	1068
357	594	1065
358	594	1062
359	595	1058
360	597	1057
361	598	1054
362	598	1051
363	599	1048
364	600	1044
365	601	1041
366	601	1038
367	602	1034
368	603	1032
369	605	1030
370	605	1027
371	606	1024
372	607	1020
373	608	1017
374	608	1014
375	609	1011
376	610	1009
377	611	1006
378	612	1003
379	613	1000
380	613	997
381	614	994
382	615	991
383	616	988
384	617	985
385	617	982
386	618	979
387	619	977
388	620	974
389	621	971
390	622	969
391	622	966
392	623	963
393	624	960
394	625	957
395	625	954
396	626	951
397	627	949
398	628	946
399	629	943
400	629	940
401	630	938
402	631	935
403	632	932
404	632	929
405	634	927
406	635	925
407	636	923
408	637	921
409	638	918
410	638	915
411	639	912
412	640	910
413	641	907
414	642	905
415	643	903
416	644	901
417	645	898
418	646	895
419	646	893
420	647	890
421	648	887
422	650	887
423	651	885
424	652	882
425	653	880
426	653	877
427	654	874
428	655	872
429	656	870
430	657	868
431	658	865
432	659	863
433	659	860
434	660	858
435	661	855
436	662	853
437	663	851
438	665	850
439	666	847
440	667	845
441	667	843
442	668	840
443	669	837
444	670	836
445	671	834
446	672	831
447	673	829
448	674	827
449	674	824
450	675	822
451	676	820
452	677	817
453	677	815
454	678	812
455	679	811
456	680	809
457	681	806
458	682	804
459	683	802
460	684	800
461	685	798
462	686	795
463	687	793
464	687	791
465	688	789
466	689	786
467	690	784
468	690	782
469	691	780
470	692	777
471	693	775
472	694	773
473	695	771
474	696	769
475	697	767
476	698	765
477	699	763
478	699	761
479	700	758
480	701	756
481	702	754
482	703	752
483	704	750
484	704	748
485	705	746
486	706	744
487	707	742
488	708	739
489	708	737
490	710	736
491	711	734
492	712	732
493	713	730
494	713	728
495	714	726
496	715	723
497	715	721
498	716	719
499	717	717
500	719	716
501	719	714
502	720	712
503	721	710
504	722	707
505	722	705
506	724	704
507	726	703
508	726	701
509	727	699
510	728	697
511	729	694
512	729	692
513	731	691
514	731	689
515	732	687
516	733	685
517	734	683
518	735	681
519	735	679
520	736	677
521	737	675
522	738	673
523	740	672
524	741	670
525	742	669
526	743	667
527	744	665
528	745	663
529	745	661
530	746	659
531	747	657
532	748	655
533	749	653
534	750	651
535	750	650
536	751	648
537	752	646
538	753	644
539	754	642
540	755	640
541	756	639
542	757	637
543	758	636
544	759	634
545	760	632
546	761	630
547	761	628
548	762	626
549	763	624
550	764	623
551	765	621
552	766	619
553	767	617
554	768	615
555	768	613
556	769	612
557	770	610
558	772	609
559	772	607
560	773	605
561	774	603
562	774	601
563	775	599
564	776	597
565	777	596
566	778	594
567	779	592
568	780	590
569	780	589
570	781	587
571	782	585
572	783	583
573	784	582
574	785	580
575	786	579
576	787	577
577	788	575
578	789	573
579	789	572
580	791	570
581	791	568
582	792	567
583	793	565
584	794	563
585	795	561
586	795	560
587	796	558
588	797	556
589	798	554
590	799	553
591	800	551
592	801	550
593	802	548
594	803	546
595	803	544
596	804	543
597	805	541
598	806	539
599	806	537
600	807	536
601	808	534
602	809	532
603	809	531
604	810	529
605	811	527
606	812	526
607	813	524
608	813	522
609	814	521
610	816	519
611	817	518
612	818	516
613	820	515
614	820	513
615	821	512
616	822	510
617	824	509
618	825	507
619	826	506
620	826	504
621	827	502
622	828	501
623	829	499
624	830	498
625	831	496
626	832	495
627	833	493
628	834	492
629	836	490
630	836	489
631	837	487
632	838	486
633	839	484
634	840	483
635	841	481
636	842	479
637	842	478
638	843	476
639	844	475
640	845	473
641	846	471
642	847	470
643	847	468
644	848	467
645	849	465
646	850	464
647	851	462
648	852	461
649	853	459
650	854	457
651	854	456
652	855	454
653	856	453
654	856	451
655	857	449
656	858	448
657	859	446
658	860	445
659	861	443
660	861	442
661	862	440
662	863	438
663	864	437
664	864	435
665	865	434
666	866	432
667	867	430
668	867	429
669	868	427
670	869	426
671	870	424
672	870	423
673	871	421
674	872	419
675	872	418
676	873	416
677	874	415
678	875	413
679	876	412
680	877	411
681	878	409
682	879	408
683	879	406
684	880	404
685	881	403
686	881	401
687	882	400
688	883	398
689	884	397
690	885	395
691	885	394
692	886	392
693	887	391
694	888	389
695	888	388
696	889	386
697	890	385
698	891	384
699	892	382
700	893	381
701	894	379
702	894	378
703	895	376
704	896	374
705	896	373
706	897	372
707	898	370
708	899	369
709	900	367
710	901	366
711	901	364
712	902	363
713	903	361
714	904	360
715	904	358
716	906	357
717	907	356
718	907	354
719	908	353
720	909	351
721	909	350
722	910	348
723	911	347
724	912	346
725	913	344
726	914	343
727	915	341
728	915	340
729	916	338
730	917	337
731	917	336
732	918	334
733	919	333
734	920	331
735	921	330
736	922	329
737	922	327
738	923	326
739	924	324
740	924	323
741	925	321
742	926	320
743	926	318
744	927	317
745	928	316
746	929	314
747	929	313
748	930	311
749	931	310
750	931	308
751	932	307
752	933	306
753	933	304
754	934	303
755	935	302
756	936	300
757	937	299
758	938	297
759	938	296
760	939	295
761	940	293
762	941	292
763	941	290
764	942	289
765	943	288
766	944	286
767	944	285
768	945	284
769	946	282
770	947	281
771	947	279
772	948	278
773	949	277
774	950	275
775	951	274
776	952	273
777	952	271
778	953	270
779	954	269
780	954	267
781	955	266
782	956	265
783	957	263
784	957	262
785	958	260
786	959	259
787	959	258
788	960	256
789	961	255
790	961	254
791	962	252
792	963	251
793	964	250
794	965	248
795	966	247
796	966	246
797	967	244
798	968	243
799	969	242
800	969	240
801	970	239
802	971	238
803	971	236
804	972	235
805	973	234
806	973	232
807	974	231
808	975	230
809	976	228
810	976	227
811	977	226
812	978	224
813	978	223
814	979	222
815	980	221
816	981	219
817	982	218
818	983	217
819	984	216
820	985	214
821	986	213
822	987	212
823	987	211
824	988	209
825	989	208
826	990	207
827	991	205
828	992	204
829	993	203
830	993	202
831	994	200
832	996	199
833	996	198
834	997	197
835	998	195
836	999	194
837	1000	193
838	1000	192
839	1001	190
840	1002	189
841	1003	188
842	1004	187
843	1004	185
844	1005	184
845	1006	183
846	1007	181
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1012	174
853	1013	173
854	1014	172
855	1015	170
856	1016	169
857	1017	168
858	1018	167
859	1019	165
860	1019	164
861	1020	163
862	1021	162
863	1022	160
864	1022	159
865	1023	158
866	1024	157
867	1025	155
868	1026	154
869	1032	154
870	1033	153
871	1034	151
872	1035	150
873	1035	149
874	1036	148
875	1037	146
876	1037	145
877	1038	144
878	1039	143
879	1040	141
880	1040	140
881	1041	139
882	1042	138
883	1043	136
884	1044	135
885	1044	134
886	1045	133
887	1046	131
888	1046	130
889	1047	129
890	1048	128
891	1049	127
892	1050	125
893	1050	124
894	1051	123
895	1052	122
896	1052	120
897	1053	119
898	1054	118
899	1055	117
900	1056	116
901	1057	114
902	1058	113
903	1058	112
904	1059	111
905	1060	110
906	1060	108
907	1061	107
908	1062	106
909	1063	105
910	1063	103
911	1064	102
912	1065	101
913	1066	100
914	1066	99
915	1067	97
916	1068	96
917	1069	95
918	1069	94
919	1070	93
920	1071	91
921	1072	90
922	1073	89
923	1074	88
924	1074	87
925	1075	85
926	1076	84
927	1077	83
928	1077	82
929	1078	81
930	1079	79
931	1079	78
932	1080	77
933	1081	76
934	1082	75
935	1083	74
936	1083	72
937	1084	71
938	1085	70
939	1086	69
940	1087	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1090	62
946	1091	61
947	1092	59
948	1092	58
949	1093	57
950	1094	56
951	1095	55
952	1095	54
953	1096	52
954	1097	51
955	1097	50
956	1098	49
957	1099	48
958	1100	47
959	1100	45
960	1101	44
961	1102	43
962	1103	42
963	1104	41
964	1105	40
965	1106	38
966	1106	37
967	1107	36
968	1108	35
969	1108	34
970	1109	33
971	1110	31
972	1111	30
973	1111	29
974	1112	28
975	1113	27
976	1113	26
977	1114	25
978	1115	23
979	1117	22
980	1118	21
981	1119	20
982	1120	19
983	1121	18
984	1122	17
985	1123	15
986	1123	14
987	1124	13
988	1125	12
989	1126	11
990	1126	10
991	1127	9
992	1128	7
993	1128	6
994	1129	5
995	1130	4
996	1131	3
997	1132	2
998	1133	1
999	1133	0
